onions,4
caraway seeds,4
olive oil,3
beef,2
carrots,2
salt,2
sour cream,2
parsnips,2
canned beef broth,1
bay leaves,1
ground chuck,1
tomatoes,1
sage,1
farro,1
huckleberries,1
fresh parsley,1
partridges,1
ground black pepper,1
"roasted red peppers, drained",1
diced bacon,1
homemade beef stock,1
green bell pepper,1
garlic cloves,1
hungarian sweet paprika,1
unsalted butter,1
cabbage,1
oil,1
sweet paprika,1
reduced-fat sour cream,1
diced onions,1
celery ribs,1
garlic,1
boneless skinless chicken breasts,1
syrup,1
paprika,1
green pepper,1
roasted tomatoes,1
medium tomatoes,1
half & half,1
celery sticks,1
russet potatoes,1
chicken broth,1
malt vinegar,1
game,1
minced garlic,1
diced tomatoes,1
hungarian paprika,1
cornish game hens,1
large eggs,1
roasted red peppers,1
ground paprika,1
