salt,10
okra,5
water,5
onions,5
coconut milk,4
ground nutmeg,4
garlic cloves,4
coconut oil,4
scallions,3
garlic,3
black pepper,3
hot pepper,2
coconut sugar,2
kale,2
ground turmeric,2
lime juice,2
fresh thyme,2
bananas,2
thyme,2
brown rice flour,2
almond milk,2
ground allspice,2
ground flaxseed,2
vanilla,2
fresh spinach,2
bacon,2
chicken broth,2
lime,2
cinnamon,2
tomatoes,1
cooking oil,1
jalapeno chilies,1
clove,1
eggs,1
fresh turmeric,1
mixed dried fruit,1
vegetable stock,1
white sugar,1
medium tomatoes,1
ground coriander,1
sea salt,1
coriander,1
baking powder,1
ground ginger,1
ackee,1
dried thyme,1
red bell pepper,1
flour,1
coriander seeds,1
allspice,1
green lentil,1
peanut oil,1
green bell pepper,1
green onions,1
lemon,1
oat flour,1
"red kidnei beans, rins and drain",1
diced tomatoes,1
curry,1
fresh ginger root,1
light coconut milk,1
fenugreek seeds,1
creamed coconut,1
cumin,1
cumin seed,1
ground black pepper,1
butter,1
white rum,1
margarine,1
long-grain rice,1
yellow mustard seeds,1
red wine,1
ground cinnamon,1
spinach,1
olive oil,1
peas,1
chili pepper,1
scotch bonnet chile,1
vegetable oil,1
fresh ginger,1
dried salted codfish,1
chopped onion,1
dark molasses,1
green pepper,1
all-purpose flour,1
pumpkin,1
sweet potatoes,1
vanilla extract,1
crabmeat,1
orange bell pepper,1
pepper,1
ground pepper,1
almond extract,1
fresh thyme leaves,1
chives,1
breadfruit,1
